timestamp,ear,mar,blink_rate,micro_sleeps,yawns,ml_pred,ml_conf,status
2025-11-16T20:04:12.229154,0.294,0.0,2,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:12.266596,0.294,0.0,2,0,0,DROWSY,0.788,ALERT
2025-11-16T20:04:12.298152,0.287,0.032,2,0,0,ALERT,0.695,NORMAL
2025-11-16T20:04:12.325816,0.274,0.0,2,0,0,ALERT,0.96,NORMAL
2025-11-16T20:04:12.357227,0.293,0.0,2,0,0,ALERT,0.875,NORMAL
2025-11-16T20:04:12.386230,0.305,0.0,2,0,0,ALERT,0.855,NORMAL
2025-11-16T20:04:12.422654,0.298,0.0,2,0,0,ALERT,0.998,NORMAL
2025-11-16T20:04:12.448450,0.297,0.0,2,0,0,DROWSY,0.638,NORMAL
2025-11-16T20:04:12.480487,0.31,0.0,2,0,0,ALERT,0.501,NORMAL
2025-11-16T20:04:12.516630,0.302,0.032,2,0,0,ALERT,0.909,NORMAL
2025-11-16T20:04:12.544777,0.297,0.0,2,0,0,DROWSY,0.638,NORMAL
2025-11-16T20:04:12.570964,0.279,0.044,2,0,0,ALERT,0.64,NORMAL
2025-11-16T20:04:12.618201,0.279,0.0,2,0,0,DROWSY,0.812,ALERT
2025-11-16T20:04:12.650280,0.318,0.046,2,0,0,ALERT,0.84,NORMAL
2025-11-16T20:04:12.689970,0.307,0.0,2,0,0,DROWSY,0.707,ALERT
2025-11-16T20:04:12.732715,0.313,0.031,2,0,0,ALERT,0.968,NORMAL
2025-11-16T20:04:12.758522,0.329,0.032,2,0,0,ALERT,0.904,NORMAL
2025-11-16T20:04:12.790119,0.302,0.0,2,0,0,DROWSY,0.505,NORMAL
2025-11-16T20:04:12.828673,0.28,0.0,2,0,0,ALERT,0.749,NORMAL
2025-11-16T20:04:12.886053,0.302,0.032,2,0,0,ALERT,0.935,NORMAL
2025-11-16T20:04:12.921575,0.306,0.0,2,0,0,ALERT,0.917,NORMAL
2025-11-16T20:04:12.973325,0.309,0.032,2,0,0,ALERT,0.932,NORMAL
2025-11-16T20:04:13.017568,0.309,0.0,2,0,0,DROWSY,0.738,ALERT
2025-11-16T20:04:13.062563,0.32,0.0,2,0,0,ALERT,0.669,NORMAL
2025-11-16T20:04:13.089520,0.306,0.0,2,0,0,DROWSY,0.643,NORMAL
2025-11-16T20:04:13.113906,0.281,0.0,2,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:13.148238,0.293,0.031,2,0,0,ALERT,0.716,NORMAL
2025-11-16T20:04:13.186570,0.298,0.0,2,0,0,DROWSY,0.612,NORMAL
2025-11-16T20:04:13.235089,0.299,0.032,2,0,0,ALERT,0.886,NORMAL
2025-11-16T20:04:13.269608,0.287,0.0,2,0,0,ALERT,0.799,NORMAL
2025-11-16T20:04:13.312698,0.288,0.0,2,0,0,DROWSY,0.612,NORMAL
2025-11-16T20:04:13.362154,0.286,0.0,2,0,0,ALERT,0.964,NORMAL
2025-11-16T20:04:13.409694,0.311,0.0,2,0,0,DROWSY,0.914,ALERT
2025-11-16T20:04:13.456491,0.293,0.0,2,0,0,ALERT,0.895,NORMAL
2025-11-16T20:04:13.497519,0.293,0.0,2,0,0,ALERT,0.895,NORMAL
2025-11-16T20:04:13.520174,0.301,0.0,2,0,0,ALERT,0.582,NORMAL
2025-11-16T20:04:13.549602,0.262,0.0,2,0,0,ALERT,0.798,NORMAL
2025-11-16T20:04:13.590165,0.28,0.032,2,0,0,ALERT,0.844,NORMAL
2025-11-16T20:04:13.611080,0.292,0.0,2,0,0,ALERT,0.783,NORMAL
2025-11-16T20:04:13.642517,0.274,0.0,2,0,0,ALERT,0.837,NORMAL
2025-11-16T20:04:13.679560,0.292,0.0,2,0,0,ALERT,0.576,NORMAL
2025-11-16T20:04:13.714795,0.313,0.0,2,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:13.776642,0.285,0.034,2,0,0,ALERT,0.58,NORMAL
2025-11-16T20:04:13.836068,0.316,0.033,2,0,0,ALERT,0.996,NORMAL
2025-11-16T20:04:13.861176,0.3,0.0,2,0,0,DROWSY,0.662,NORMAL
2025-11-16T20:04:13.892387,0.312,0.0,2,0,0,DROWSY,0.996,ALERT
2025-11-16T20:04:13.923205,0.294,0.0,2,0,0,ALERT,0.752,NORMAL
2025-11-16T20:04:13.955635,0.294,0.033,2,0,0,ALERT,0.956,NORMAL
2025-11-16T20:04:13.993650,0.3,0.033,2,0,0,ALERT,0.836,NORMAL
2025-11-16T20:04:14.019482,0.294,0.0,2,0,0,DROWSY,0.964,ALERT
2025-11-16T20:04:14.048641,0.318,0.0,2,0,0,ALERT,0.735,NORMAL
2025-11-16T20:04:14.131867,0.33,0.0,2,0,0,DROWSY,0.584,NORMAL
2025-11-16T20:04:14.160024,0.324,0.0,2,0,0,ALERT,0.996,NORMAL
2025-11-16T20:04:14.190206,0.324,0.033,2,0,0,ALERT,0.956,NORMAL
2025-11-16T20:04:14.223386,0.324,0.0,2,0,0,ALERT,0.996,NORMAL
2025-11-16T20:04:14.253398,0.324,0.0,2,0,0,ALERT,0.996,NORMAL
2025-11-16T20:04:14.281428,0.317,0.033,2,0,0,ALERT,0.996,NORMAL
2025-11-16T20:04:14.318034,0.31,0.0,2,0,0,DROWSY,0.559,NORMAL
2025-11-16T20:04:14.354040,0.317,0.0,2,0,0,ALERT,0.589,NORMAL
2025-11-16T20:04:14.407458,0.311,0.0,2,0,0,DROWSY,0.914,ALERT
2025-11-16T20:04:14.446807,0.294,0.0,2,0,0,ALERT,0.752,NORMAL
2025-11-16T20:04:14.486019,0.307,0.0,2,0,0,DROWSY,0.707,ALERT
2025-11-16T20:04:14.522627,0.281,0.034,2,0,0,ALERT,0.544,NORMAL
2025-11-16T20:04:14.574471,0.307,0.0,2,0,0,DROWSY,0.707,ALERT
2025-11-16T20:04:14.608649,0.313,0.0,2,0,0,DROWSY,0.664,NORMAL
2025-11-16T20:04:14.637120,0.318,0.0,2,0,0,ALERT,0.792,NORMAL
2025-11-16T20:04:14.672247,0.296,0.0,2,0,0,ALERT,0.969,NORMAL
2025-11-16T20:04:14.723153,0.29,0.034,2,0,0,ALERT,0.669,NORMAL
2025-11-16T20:04:14.747331,0.271,0.0,2,0,0,ALERT,0.971,NORMAL
2025-11-16T20:04:14.780088,0.299,0.047,2,0,0,ALERT,0.756,NORMAL
2025-11-16T20:04:14.817896,0.284,0.0,2,0,0,DROWSY,0.6,NORMAL
2025-11-16T20:04:14.875362,0.281,0.0,2,0,0,ALERT,0.548,NORMAL
2025-11-16T20:04:14.919267,0.288,0.0,2,0,0,ALERT,0.826,NORMAL
2025-11-16T20:04:14.954573,0.206,0.0,2,0,0,DROWSY,0.99,ALERT
2025-11-16T20:04:14.978245,0.113,0.032,2,0,0,DROWSY,0.996,ALERT
2025-11-16T20:04:15.018131,0.111,0.0,2,0,0,DROWSY,1.0,ALERT
2025-11-16T20:04:15.040927,0.092,0.032,2,0,0,DROWSY,0.992,ALERT
2025-11-16T20:04:15.072894,0.123,0.0,2,0,0,DROWSY,0.959,ALERT
2025-11-16T20:04:15.116182,0.11,0.0,2,0,0,DROWSY,0.996,ALERT
2025-11-16T20:04:15.165122,0.127,0.0,2,0,0,ALERT,0.672,NORMAL
2025-11-16T20:04:15.212075,0.148,0.033,2,0,0,DROWSY,0.904,ALERT
2025-11-16T20:04:15.258305,0.197,0.0,2,0,0,ALERT,0.722,NORMAL
2025-11-16T20:04:15.299280,0.169,0.0,2,0,0,ALERT,0.671,NORMAL
2025-11-16T20:04:15.322332,0.235,0.032,3,0,0,ALERT,0.64,NORMAL
2025-11-16T20:04:15.351838,0.238,0.0,3,0,0,DROWSY,0.853,ALERT
2025-11-16T20:04:15.384154,0.242,0.0,3,0,0,ALERT,0.737,NORMAL
