timestamp,ear,mar,blink_per_min,microsleeps,yawns,fatigue,ml
2025-11-16T22:21:00.668882,0.1139,0.0144,1,1,0,57,ALERT
2025-11-16T22:21:00.760819,0.1104,0.0112,1,1,0,78,DROWSY
2025-11-16T22:21:00.844119,0.1089,0.0113,1,1,0,79,DROWSY
2025-11-16T22:21:00.905760,0.1066,0.0113,1,1,0,79,DROWSY
2025-11-16T22:21:01.030412,0.106,0.008,1,1,0,80,DROWSY
2025-11-16T22:21:01.096622,0.1008,0.013,1,1,0,80,DROWSY
2025-11-16T22:21:01.167831,0.1007,0.0164,1,1,0,81,DROWSY
2025-11-16T22:21:01.228451,0.102,0.0164,1,1,0,81,DROWSY
2025-11-16T22:21:01.300080,0.1131,0.0116,1,1,0,80,DROWSY
2025-11-16T22:21:01.364194,0.1266,0.015,1,1,0,78,DROWSY
2025-11-16T22:21:01.428238,0.133,0.015,1,1,0,78,DROWSY
2025-11-16T22:21:01.491339,0.1443,0.0117,1,1,0,56,ALERT
2025-11-16T22:21:01.558376,0.1569,0.0117,1,1,0,55,ALERT
2025-11-16T22:21:01.619930,0.1751,0.0117,1,1,0,53,ALERT
2025-11-16T22:21:01.708351,0.194,0.0117,1,1,0,51,ALERT
2025-11-16T22:21:01.770536,0.2108,0.0068,1,1,0,69,DROWSY
2025-11-16T22:21:01.833219,0.2282,0.0067,1,1,0,36,ALERT
2025-11-16T22:21:01.895483,0.2455,0.0067,2,1,0,34,ALERT
2025-11-16T22:21:01.960194,0.2521,0.0102,2,1,0,54,DROWSY
2025-11-16T22:21:02.034260,0.2614,0.0135,2,1,0,34,ALERT
2025-11-16T22:21:02.098730,0.2732,0.0135,2,1,0,34,ALERT
2025-11-16T22:21:02.162486,0.2809,0.0168,2,1,0,34,ALERT
2025-11-16T22:21:02.280919,0.2866,0.0168,2,1,0,34,ALERT
2025-11-16T22:21:02.340921,0.2878,0.0202,2,1,0,34,ALERT
2025-11-16T22:21:02.435460,0.2859,0.0236,2,1,0,34,ALERT
2025-11-16T22:21:02.496991,0.2892,0.0202,2,1,0,34,ALERT
2025-11-16T22:21:02.570011,0.2895,0.0202,2,1,0,34,ALERT
2025-11-16T22:21:02.647564,0.2874,0.0167,2,1,0,34,ALERT
2025-11-16T22:21:02.791725,0.2876,0.0134,2,1,0,34,ALERT
2025-11-16T22:21:02.855753,0.2885,0.0102,2,1,0,34,ALERT
2025-11-16T22:21:02.960739,0.2871,0.0099,2,1,0,34,ALERT
2025-11-16T22:21:03.026290,0.2865,0.0099,2,1,0,34,ALERT
2025-11-16T22:21:03.098348,0.2905,0.01,2,1,0,34,ALERT
2025-11-16T22:21:03.171354,0.2878,0.01,2,1,0,34,ALERT
2025-11-16T22:21:03.231578,0.2879,0.01,2,1,0,34,ALERT
2025-11-16T22:21:03.295654,0.2875,0.01,2,1,0,34,ALERT
2025-11-16T22:21:03.361729,0.2861,0.0099,2,1,0,34,ALERT
2025-11-16T22:21:03.424588,0.2882,0.0099,2,1,0,34,ALERT
2025-11-16T22:21:03.490420,0.289,0.0099,2,1,0,34,ALERT
2025-11-16T22:21:03.581053,0.2902,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:03.715767,0.2932,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:03.844541,0.2951,0.0033,2,1,0,34,ALERT
2025-11-16T22:21:03.987904,0.2975,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:04.110132,0.2966,0.0102,2,1,0,34,ALERT
2025-11-16T22:21:04.212298,0.2857,0.0102,2,1,0,34,ALERT
2025-11-16T22:21:04.305604,0.2682,0.0102,2,1,0,34,ALERT
2025-11-16T22:21:04.369168,0.2623,0.0102,2,1,0,34,ALERT
2025-11-16T22:21:04.430805,0.2619,0.0102,2,1,0,34,ALERT
2025-11-16T22:21:04.497027,0.261,0.0136,2,1,0,34,ALERT
2025-11-16T22:21:04.560608,0.2634,0.0101,2,1,0,34,ALERT
2025-11-16T22:21:04.627666,0.2594,0.0101,2,1,0,34,ALERT
2025-11-16T22:21:04.705811,0.2588,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:04.772612,0.2586,0.0034,2,1,0,34,ALERT
2025-11-16T22:21:04.833527,0.2711,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:04.899343,0.2812,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:04.962542,0.2896,0.0068,2,1,0,34,ALERT
2025-11-16T22:21:05.044585,0.2955,0.0068,2,1,0,54,DROWSY
2025-11-16T22:21:05.182873,0.2953,0.0034,2,1,0,34,ALERT
2025-11-16T22:21:05.246590,0.2762,0.0069,2,1,0,34,ALERT
2025-11-16T22:21:05.376298,0.2719,0.0069,2,1,0,54,DROWSY
2025-11-16T22:21:05.441180,0.2714,0.0069,2,1,0,34,ALERT
2025-11-16T22:21:05.507355,0.2682,0.0066,2,1,0,34,ALERT
2025-11-16T22:21:05.569784,0.2688,0.0129,2,1,0,34,ALERT
2025-11-16T22:21:05.636747,0.2671,0.0129,2,1,0,34,ALERT
2025-11-16T22:21:05.769368,0.2582,0.0374,2,1,0,34,ALERT
2025-11-16T22:21:05.839505,0.2594,0.0687,2,1,0,34,ALERT
2025-11-16T22:21:05.936046,0.2753,0.103,2,1,0,34,ALERT
2025-11-16T22:21:06.035276,0.285,0.199,2,1,0,34,ALERT
2025-11-16T22:21:06.099873,0.2838,0.2643,2,1,0,34,ALERT
2025-11-16T22:21:06.177845,0.2854,0.3313,2,1,0,34,ALERT
2025-11-16T22:21:06.242689,0.2817,0.3969,2,1,0,34,ALERT
2025-11-16T22:21:06.305266,0.2775,0.468,2,1,0,54,DROWSY
2025-11-16T22:21:06.370041,0.2773,0.5383,2,1,0,54,DROWSY
2025-11-16T22:21:06.436329,0.2757,0.5908,2,1,0,54,DROWSY
2025-11-16T22:21:06.496987,0.2708,0.6497,2,1,0,54,DROWSY
2025-11-16T22:21:06.590225,0.2648,0.6946,2,1,0,55,DROWSY
2025-11-16T22:21:06.712040,0.2542,0.7708,2,1,0,35,ALERT
2025-11-16T22:21:06.849745,0.2482,0.7978,2,1,0,35,ALERT
2025-11-16T22:21:06.911121,0.2474,0.8,2,1,0,36,ALERT
2025-11-16T22:21:06.975625,0.2469,0.7944,2,1,0,36,ALERT
2025-11-16T22:21:07.041414,0.241,0.7775,2,1,0,36,ALERT
2025-11-16T22:21:07.105665,0.2376,0.7535,2,1,0,37,ALERT
2025-11-16T22:21:07.167762,0.2389,0.7033,2,1,0,57,DROWSY
2025-11-16T22:21:07.236085,0.2424,0.656,3,1,0,55,DROWSY
2025-11-16T22:21:07.318127,0.2434,0.5953,3,1,0,56,DROWSY
2025-11-16T22:21:07.457597,0.246,0.4805,3,1,0,56,DROWSY
2025-11-16T22:21:07.520415,0.2485,0.4306,3,1,1,58,DROWSY
2025-11-16T22:21:07.581422,0.2507,0.3777,3,1,1,58,DROWSY
2025-11-16T22:21:07.673951,0.2516,0.3403,3,1,1,58,DROWSY
2025-11-16T22:21:07.779168,0.2352,0.2744,3,1,1,39,ALERT
2025-11-16T22:21:07.861236,0.2316,0.2481,3,1,1,40,ALERT
2025-11-16T22:21:07.921868,0.234,0.2276,3,1,1,39,ALERT
2025-11-16T22:21:07.990708,0.2315,0.2166,3,1,1,40,ALERT
2025-11-16T22:21:08.054003,0.2289,0.2089,3,1,1,60,DROWSY
2025-11-16T22:21:08.197606,0.2286,0.2047,3,1,1,60,DROWSY
2025-11-16T22:21:08.278880,0.2284,0.1931,3,1,1,60,DROWSY
2025-11-16T22:21:08.380279,0.2405,0.184,3,1,1,38,ALERT
2025-11-16T22:21:08.452404,0.2545,0.1798,4,1,1,37,ALERT
2025-11-16T22:21:08.585156,0.26,0.1757,4,1,1,37,ALERT
2025-11-16T22:21:08.714236,0.2292,0.1468,4,1,1,59,DROWSY
2025-11-16T22:21:08.870130,0.2238,0.0992,4,1,1,59,DROWSY
2025-11-16T22:21:08.973889,0.2274,0.0735,4,1,1,39,ALERT
2025-11-16T22:21:09.041721,0.2261,0.0493,4,1,1,39,ALERT
2025-11-16T22:21:09.106483,0.2302,0.0342,4,1,1,58,DROWSY
2025-11-16T22:21:09.188061,0.2304,0.0283,4,1,1,38,ALERT
2025-11-16T22:21:09.319742,0.2485,0.0067,5,1,1,36,ALERT
2025-11-16T22:21:09.380645,0.2623,0.0127,5,1,1,36,ALERT
2025-11-16T22:21:09.441162,0.269,0.0127,5,1,1,36,ALERT
2025-11-16T22:21:09.510918,0.2684,0.0184,5,1,1,36,ALERT
2025-11-16T22:21:09.593592,0.2662,0.0275,5,1,1,36,ALERT
2025-11-16T22:21:09.686093,0.2682,0.034,5,1,1,36,ALERT
2025-11-16T22:21:09.782503,0.2566,0.0369,5,1,1,36,ALERT
2025-11-16T22:21:09.918753,0.2479,0.0333,5,1,1,36,ALERT
2025-11-16T22:21:09.984459,0.2451,0.0333,5,1,1,36,ALERT
2025-11-16T22:21:10.052599,0.2503,0.0302,5,1,1,36,ALERT
2025-11-16T22:21:10.113115,0.2503,0.0302,5,1,1,36,ALERT
2025-11-16T22:21:10.178243,0.2528,0.0245,5,1,1,56,DROWSY
2025-11-16T22:21:10.241724,0.257,0.0184,5,1,1,36,ALERT
2025-11-16T22:21:10.332779,0.2557,0.0162,5,1,1,36,ALERT
2025-11-16T22:21:10.465888,0.2707,0.0163,5,1,1,36,ALERT
2025-11-16T22:21:10.588963,0.2821,0.0166,5,1,1,36,ALERT
2025-11-16T22:21:10.733624,0.2887,0.0166,5,1,1,36,ALERT
2025-11-16T22:21:10.860439,0.29,0.0166,5,1,1,36,ALERT
2025-11-16T22:21:10.989808,0.2927,0.0094,5,1,1,36,ALERT
2025-11-16T22:21:11.058373,0.2966,0.0064,5,1,1,36,ALERT
2025-11-16T22:21:11.121874,0.2961,0.0064,5,1,1,36,ALERT
2025-11-16T22:21:11.184906,0.2975,0.0064,5,1,1,36,ALERT
2025-11-16T22:21:11.250327,0.2975,0.003,5,1,1,36,ALERT
2025-11-16T22:21:11.314710,0.2948,0.003,5,1,1,36,ALERT
2025-11-16T22:21:11.377624,0.2941,0.0,5,1,1,56,DROWSY
2025-11-16T22:21:11.473551,0.2966,0.0,5,1,1,36,ALERT
2025-11-16T22:21:11.533873,0.2953,0.0,5,1,1,36,ALERT
2025-11-16T22:21:11.623671,0.2897,0.0,5,1,1,56,DROWSY
2025-11-16T22:21:11.719372,0.2637,0.0,5,1,1,36,ALERT
2025-11-16T22:21:11.878327,0.2531,0.0031,5,1,1,56,DROWSY
2025-11-16T22:21:11.938988,0.2473,0.0031,5,1,1,36,ALERT
2025-11-16T22:21:12.056694,0.2435,0.0031,5,1,1,36,ALERT
2025-11-16T22:21:12.206256,0.2383,0.0031,5,1,1,56,DROWSY
2025-11-16T22:21:12.272159,0.2426,0.0031,6,1,1,55,DROWSY
2025-11-16T22:21:12.403950,0.2646,0.0031,6,1,1,55,DROWSY
2025-11-16T22:21:12.463989,0.2684,0.0031,6,1,1,35,ALERT
2025-11-16T22:21:12.611360,0.2759,0.0,6,1,1,35,ALERT
2025-11-16T22:21:12.675360,0.276,0.0,6,1,1,35,ALERT
2025-11-16T22:21:12.800985,0.2775,0.0,6,1,1,35,ALERT
2025-11-16T22:21:12.923380,0.2776,0.0,6,1,1,55,DROWSY
2025-11-16T22:21:12.995301,0.2772,0.003,6,1,1,35,ALERT
2025-11-16T22:21:13.057093,0.2771,0.003,6,1,1,35,ALERT
2025-11-16T22:21:13.120822,0.2764,0.003,6,1,1,35,ALERT
2025-11-16T22:21:13.188437,0.2769,0.0063,6,1,1,35,ALERT
2025-11-16T22:21:13.250164,0.2784,0.0096,6,1,1,35,ALERT
2025-11-16T22:21:13.342802,0.2816,0.0096,6,1,1,35,ALERT
2025-11-16T22:21:13.467823,0.2801,0.0096,6,1,1,35,ALERT
2025-11-16T22:21:13.531455,0.2789,0.0096,6,1,1,35,ALERT
2025-11-16T22:21:13.665435,0.262,0.0066,6,1,1,55,DROWSY
2025-11-16T22:21:13.731514,0.2593,0.0097,6,1,1,35,ALERT
2025-11-16T22:21:13.825319,0.2595,0.0097,6,1,1,35,ALERT
2025-11-16T22:21:13.925258,0.2555,0.0094,6,1,1,35,ALERT
2025-11-16T22:21:13.986187,0.2538,0.0125,6,1,1,35,ALERT
2025-11-16T22:21:14.047738,0.258,0.0125,6,1,1,35,ALERT
2025-11-16T22:21:14.135617,0.2598,0.0156,6,1,1,35,ALERT
2025-11-16T22:21:14.269747,0.2725,0.025,6,1,1,35,ALERT
2025-11-16T22:21:14.331379,0.2763,0.028,6,1,1,35,ALERT
2025-11-16T22:21:14.481986,0.2734,0.0249,6,1,1,35,ALERT
2025-11-16T22:21:14.545201,0.2657,0.025,6,1,1,35,ALERT
2025-11-16T22:21:14.674732,0.262,0.0281,6,1,1,35,ALERT
2025-11-16T22:21:14.800073,0.2548,0.0343,6,1,1,35,ALERT
2025-11-16T22:21:14.868463,0.2512,0.031,6,1,1,35,ALERT
2025-11-16T22:21:14.928764,0.25,0.031,6,1,1,35,ALERT
2025-11-16T22:21:14.996238,0.2486,0.0279,6,1,1,35,ALERT
2025-11-16T22:21:15.057727,0.2515,0.0372,6,1,1,35,ALERT
2025-11-16T22:21:15.121473,0.2555,0.04,6,1,1,35,ALERT
2025-11-16T22:21:15.210435,0.2565,0.0459,6,1,1,35,ALERT
2025-11-16T22:21:15.332617,0.2513,0.0468,6,1,1,35,ALERT
2025-11-16T22:21:15.393606,0.256,0.0437,6,1,1,35,ALERT
2025-11-16T22:21:15.457390,0.2518,0.0407,6,1,1,35,ALERT
2025-11-16T22:21:15.522729,0.2545,0.0346,6,1,1,35,ALERT
2025-11-16T22:21:15.613744,0.2548,0.041,6,1,1,35,ALERT
2025-11-16T22:21:15.705516,0.2555,0.0439,6,1,1,35,ALERT
2025-11-16T22:21:15.795741,0.2519,0.0318,6,1,1,55,DROWSY
2025-11-16T22:21:15.937424,0.2663,0.0241,6,1,1,35,ALERT
2025-11-16T22:21:16.001627,0.2649,0.021,6,1,1,35,ALERT
2025-11-16T22:21:16.067138,0.2666,0.0179,6,1,1,35,ALERT
2025-11-16T22:21:16.128159,0.2681,0.0208,6,1,1,35,ALERT
2025-11-16T22:21:16.192972,0.262,0.0208,6,1,1,35,ALERT
2025-11-16T22:21:16.259813,0.2562,0.0144,6,1,1,35,ALERT
2025-11-16T22:21:16.339850,0.2542,0.0115,6,1,1,35,ALERT
2025-11-16T22:21:16.401095,0.2528,0.0146,6,1,1,35,ALERT
2025-11-16T22:21:16.465470,0.2543,0.0146,6,1,1,35,ALERT
2025-11-16T22:21:16.529055,0.2561,0.0119,6,1,1,35,ALERT
2025-11-16T22:21:16.592278,0.2551,0.0089,6,1,1,35,ALERT
2025-11-16T22:21:16.660038,0.2486,0.009,6,1,1,35,ALERT
2025-11-16T22:21:16.743976,0.2449,0.009,6,1,1,35,ALERT
2025-11-16T22:21:16.880665,0.2511,0.0092,6,1,1,35,ALERT
2025-11-16T22:21:17.008360,0.2617,0.026,6,1,1,55,DROWSY
2025-11-16T22:21:17.069324,0.2609,0.0229,6,1,1,35,ALERT
2025-11-16T22:21:17.136723,0.2627,0.0229,6,1,1,35,ALERT
2025-11-16T22:21:17.203384,0.2654,0.0259,6,1,1,55,DROWSY
2025-11-16T22:21:17.263720,0.2653,0.0259,6,1,1,55,DROWSY
2025-11-16T22:21:17.327039,0.2727,0.0229,6,1,1,35,ALERT
2025-11-16T22:21:17.424550,0.2752,0.0229,6,1,1,35,ALERT
2025-11-16T22:21:17.555751,0.2744,0.0199,6,1,1,35,ALERT
2025-11-16T22:21:17.687463,0.2731,0.003,6,1,1,55,DROWSY
2025-11-16T22:21:17.807586,0.2732,0.003,6,1,1,35,ALERT
2025-11-16T22:21:17.874666,0.2698,0.0,6,1,1,35,ALERT
2025-11-16T22:21:17.937821,0.272,0.0,6,1,1,35,ALERT
2025-11-16T22:21:18.001009,0.2743,0.0,6,1,1,35,ALERT
2025-11-16T22:21:18.063837,0.276,0.0027,6,1,1,35,ALERT
2025-11-16T22:21:18.129682,0.2776,0.0027,6,1,1,55,DROWSY
2025-11-16T22:21:18.195354,0.279,0.0027,6,1,1,35,ALERT
2025-11-16T22:21:18.275853,0.2799,0.0056,6,1,1,35,ALERT
2025-11-16T22:21:18.337535,0.2842,0.0085,6,1,1,35,ALERT
2025-11-16T22:21:18.400611,0.2901,0.0085,6,1,1,35,ALERT
2025-11-16T22:21:18.468788,0.288,0.0085,6,1,1,35,ALERT
2025-11-16T22:21:18.529859,0.2906,0.0085,6,1,1,35,ALERT
2025-11-16T22:21:18.614338,0.2887,0.0127,6,1,1,35,ALERT
2025-11-16T22:21:18.743888,0.2846,0.0157,6,1,1,35,ALERT
2025-11-16T22:21:18.881219,0.2842,0.0271,6,1,1,35,ALERT
2025-11-16T22:21:19.032618,0.288,0.0213,6,1,1,35,ALERT
